2793['138000', 'QD', '25.06.1988', '   8.4800']
2800['138000', 'QD', '02.07.1988', '   8.8600']
2807['138000', 'QD', '09.07.1988', '   7.0800']
2814['138000', 'QD', '16.07.1988', '   8.8600']
2821['138000', 'QD', '23.07.1988', '   5.8000']
2828['138000', 'QD', '30.07.1988', '   6.1000']
2835['138000', 'QD', '06.08.1988', '   5.8000']
2842['138000', 'QD', '13.08.1988', '   4.9000']
2849['138000', 'QD', '20.08.1988', '   4.9000']
2856['138000', 'QD', '27.08.1988', '   8.4800']
2863['138000', 'QD', '03.09.1988', '  12.3000']
2870['138000', 'QD', '10.09.1988', '   5.8000']
2877['138000', 'QD', '17.09.1988', '   5.2000']
2884['138000', 'QD', '24.09.1988', '   5.2000']
2891['138000', 'QD', '01.10.1988', '   5.2000']
2898['138000', 'QD', '08.10.1988', '  10.0000']
2905['138000', 'QD', '15.10.1988', '   4.6600']
2912['138000', 'QD', '22.10.1988', '   4.6600']
2919['138000', 'QD', '29.10.1988', '   4.1800']
2926['138000', 'QD', '05.11.1988', '   4.1800']
2933['138000', 'QD', '12.11.1988', '   4.6600']
2940['138000', 'QD', '19.11.1988', '   8.8600']
2947['138000', 'QD', '26.11.1988', '   5.2000']
2954['138000', 'QD', '03.12.1988', '   5.8000']
2961['138000', 'QD', '10.12.1988', '   8.4800']
2968['138000', 'QD', '17.12.1988', '   8.1000']
2975['138000', 'QD', '24.12.1988', '  29.5000']
2982['138000', 'QD', '31.12.1988', '  10.9000']
2989['138000', 'QD', '07.01.1989', '   8.3200']
2996['138000', 'QD', '14.01.1989', '   8.6600']
3003['138000', 'QD', '21.01.1989', '   7.3000']
3010['138000', 'QD', '28.01.1989', '   5.6400']
3017['138000', 'QD', '04.02.1989', '   5.3800']
3024['138000', 'QD', '11.02.1989', '   5.3800']
3031['138000', 'QD', '18.02.1989', '   5.1200']
3038['138000', 'QD', '25.02.1989', '  10.6000']
3045['138000', 'QD', '04.03.1989', '   8.6600']
3052['138000', 'QD', '11.03.1989', '   8.6600']
3059['138000', 'QD', '18.03.1989', '  25.2000']
3066['138000', 'QD', '25.03.1989', '  13.7000']
3073['138000', 'QD', '01.04.1989', '  22.5000']
3080['138000', 'QD', '08.04.1989', '  15.3000']
3087['138000', 'QD', '15.04.1989', '  20.5000']
3094['138000', 'QD', '22.04.1989', '  19.9000']
3101['138000', 'QD', '29.04.1989', '  13.2000']
3108['138000', 'QD', '06.05.1989', '  19.2000']
3115['138000', 'QD', '13.05.1989', '  23.1000']
3122['138000', 'QD', '20.05.1989', '   9.8000']
3129['138000', 'QD', '27.05.1989', '   7.0200']
3136['138000', 'QD', '03.06.1989', '   7.9800']
3143['138000', 'QD', '10.06.1989', '   6.1800']
3150['138000', 'QD', '17.06.1989', '   5.6400']
3157['138000', 'QD', '24.06.1989', '   5.3800']
3164['138000', 'QD', '01.07.1989', '   5.3800']
3171['138000', 'QD', '08.07.1989', '   4.8600']
3178['138000', 'QD', '15.07.1989', '   5.1200']
3185['138000', 'QD', '22.07.1989', '   4.3500']
3192['138000', 'QD', '29.07.1989', '   7.6400']
3199['138000', 'QD', '05.08.1989', '   5.6400']
3206['138000', 'QD', '12.08.1989', '   5.1200']
3213['138000', 'QD', '19.08.1989', '   5.1200']
